time,open,high,low,close,volume
2023-08-16T23:30:00.000Z,1892.77,1893.5,1892.28,1893.19,701
2023-08-16T23:45:00.000Z,1893.19,1893.98,1893.18,1893.36,517
2023-08-17T00:00:00.000Z,1893.37,1893.39,1891.97,1892.97,775
2023-08-17T00:15:00.000Z,1892.88,1893.08,1892.34,1892.89,634
2023-08-17T00:30:00.000Z,1892.87,1893.02,1892.08,1892.16,661
2023-08-17T00:45:00.000Z,1892.15,1892.86,1891.08,1892.8,905
2023-08-17T01:00:00.000Z,1892.86,1893,1890.58,1891.32,1432
2023-08-17T01:15:00.000Z,1891.34,1892.46,1890.09,1890.15,1578
2023-08-17T01:30:00.000Z,1890.14,1892.72,1889.58,1892.68,1673
2023-08-17T01:45:00.000Z,1892.7,1892.99,1891.69,1892.68,1171
2023-08-17T02:00:00.000Z,1892.6,1893.36,1892.25,1892.53,1143
2023-08-17T02:15:00.000Z,1892.56,1893.58,1892.22,1893.02,742
2023-08-17T02:30:00.000Z,1893.03,1893.47,1892.25,1893.03,986
2023-08-17T02:45:00.000Z,1893.04,1893.83,1892.92,1893.73,1129
2023-08-17T03:00:00.000Z,1893.72,1893.95,1892.82,1892.82,976
2023-08-17T03:15:00.000Z,1892.83,1893.58,1892.77,1893.39,744
2023-08-17T03:30:00.000Z,1893.36,1893.59,1892.73,1892.91,431
2023-08-17T03:45:00.000Z,1892.93,1893,1892.37,1892.74,487
2023-08-17T04:00:00.000Z,1892.74,1892.96,1892.27,1892.94,445
2023-08-17T04:15:00.000Z,1892.94,1893.5,1892.85,1893.36,380
2023-08-17T04:30:00.000Z,1893.35,1893.4,1892.92,1893.38,283
2023-08-17T04:45:00.000Z,1893.39,1893.89,1893.37,1893.76,366
2023-08-17T05:00:00.000Z,1893.77,1893.9,1893.29,1893.88,504
2023-08-17T05:15:00.000Z,1893.85,1893.88,1893.46,1893.47,403
2023-08-17T05:30:00.000Z,1893.47,1893.49,1892.09,1892.25,931
2023-08-17T05:45:00.000Z,1892.29,1893.49,1892.26,1893.45,674
2023-08-17T06:00:00.000Z,1893.45,1894.07,1892.71,1893.49,958
2023-08-17T06:15:00.000Z,1893.49,1894.78,1893.33,1894.61,1093
2023-08-17T06:30:00.000Z,1894.6,1896.56,1894.41,1896.48,1313
2023-08-17T06:45:00.000Z,1896.46,1897.38,1895.75,1897.38,1504
2023-08-17T07:00:00.000Z,1897.36,1897.59,1896,1896.9,1774
2023-08-17T07:15:00.000Z,1896.89,1897.51,1895.74,1895.95,1409
2023-08-17T07:30:00.000Z,1895.94,1896.19,1895.35,1896.09,1109
2023-08-17T07:45:00.000Z,1896.07,1896.76,1895.46,1896.47,1122
2023-08-17T08:00:00.000Z,1896.46,1896.46,1895.41,1895.45,1087
2023-08-17T08:15:00.000Z,1895.47,1896.5,1895.44,1895.68,1028
2023-08-17T08:30:00.000Z,1895.71,1896.2,1895.22,1895.36,978
2023-08-17T08:45:00.000Z,1895.35,1895.61,1893.8,1893.98,1047
2023-08-17T09:00:00.000Z,1893.98,1894.64,1893.68,1894.1,1054
2023-08-17T09:15:00.000Z,1894.07,1894.64,1893.67,1893.85,934
2023-08-17T09:30:00.000Z,1893.88,1894.66,1893.63,1894.64,919
2023-08-17T09:45:00.000Z,1894.64,1895.3,1894.56,1895.26,1060
2023-08-17T10:00:00.000Z,1895.26,1898.08,1895.17,1897.42,1615
2023-08-17T10:15:00.000Z,1897.41,1899.27,1896.78,1897.08,1690
2023-08-17T10:30:00.000Z,1897.1,1898.19,1896.32,1898.04,1368
2023-08-17T10:45:00.000Z,1898.06,1898.53,1897.35,1897.94,1360
2023-08-17T11:00:00.000Z,1897.95,1898.28,1896.94,1897.64,1520
2023-08-17T11:15:00.000Z,1897.62,1898.62,1897.14,1898.23,1146
2023-08-17T11:30:00.000Z,1898.23,1899.54,1897.33,1898.59,1481
2023-08-17T11:45:00.000Z,1898.56,1899.47,1898.13,1898.84,1486
2023-08-17T12:00:00.000Z,1898.83,1900.55,1898.2,1899.36,1894
2023-08-17T12:15:00.000Z,1899.41,1900.24,1897.69,1899.56,2111
2023-08-17T12:30:00.000Z,1899.52,1902.46,1896.73,1899.44,3486
2023-08-17T12:45:00.000Z,1899.43,1900.19,1898.09,1899.53,2533
2023-08-17T13:00:00.000Z,1899.49,1902.66,1898.95,1901.77,2814
2023-08-17T13:15:00.000Z,1901.77,1903.45,1901.21,1902.4,2692
2023-08-17T13:30:00.000Z,1902.39,1902.44,1898.35,1899.43,3365
2023-08-17T13:45:00.000Z,1899.41,1899.44,1895.77,1895.99,3224
2023-08-17T14:00:00.000Z,1895.97,1897.68,1895.38,1895.87,2897
2023-08-17T14:15:00.000Z,1895.9,1897.13,1894.27,1894.54,2331
2023-08-17T14:30:00.000Z,1894.54,1895.21,1893.84,1895.09,2314
2023-08-17T14:45:00.000Z,1895.2,1896.32,1894.44,1895.41,2224
2023-08-17T15:00:00.000Z,1895.39,1896.39,1894.92,1895.21,1787
2023-08-17T15:15:00.000Z,1895.2,1895.91,1893.39,1893.73,1816
2023-08-17T15:30:00.000Z,1893.72,1893.99,1892.59,1892.69,1515
2023-08-17T15:45:00.000Z,1892.73,1893.27,1889.14,1889.5,2002
2023-08-17T16:00:00.000Z,1889.48,1890.75,1889.48,1890,1642
2023-08-17T16:15:00.000Z,1890.01,1891.22,1889.41,1890.71,1449
2023-08-17T16:30:00.000Z,1890.71,1891.03,1889.58,1889.66,1218
2023-08-17T16:45:00.000Z,1889.66,1889.66,1887.82,1888.4,1389
2023-08-17T17:00:00.000Z,1888.41,1888.51,1885.89,1886.09,1503
2023-08-17T17:15:00.000Z,1886.09,1887.53,1885.58,1886.05,1330
